SKU,Tamanho Pedido,Loja,Data da Venda,Código Cliente
HL1001,5,São Paulo,"2022-07-25 00:00:00,000",429
HL1001,5,São Paulo,"2022-07-25 00:00:00,000",104
HL1001,5,São Paulo,"2022-08-12 00:00:00,000",698
HL1001,5,São Paulo,"2022-08-15 00:00:00,000",314
HL1001,5,São Paulo,"2022-08-17 00:00:00,000",718
HL1001,5,São Paulo,"2022-08-21 00:00:00,000",79
HL1001,5,São Paulo,"2022-08-23 00:00:00,000",50
HL1001,5,São Paulo,"2022-08-24 00:00:00,000",406
HL1001,5,São Paulo,"2022-08-26 00:00:00,000",400
HL1001,5,São Paulo,"2022-09-09 00:00:00,000",320
HL1001,5,São Paulo,"2022-09-20 00:00:00,000",389
HL1001,5,São Paulo,"2022-09-28 00:00:00,000",224
HL1001,5,São Paulo,"2022-10-01 00:00:00,000",310
HL1001,5,São Paulo,"2022-10-05 00:00:00,000",209
HL1001,5,São Paulo,"2022-10-07 00:00:00,000",753
HL1001,5,São Paulo,"2022-10-08 00:00:00,000",728
HL1001,5,São Paulo,"2022-10-09 00:00:00,000",446
HL1001,5,São Paulo,"2022-10-31 00:00:00,000",105
HL1001,5,São Paulo,"2022-11-04 00:00:00,000",389
HL1001,5,São Paulo,"2022-11-08 00:00:00,000",235
HL1001,5,São Paulo,"2022-11-12 00:00:00,000",49
HL1001,5,São Paulo,"2022-11-13 00:00:00,000",665
HL1001,5,São Paulo,"2022-11-19 00:00:00,000",314
HL1001,5,São Paulo,"2022-11-20 00:00:00,000",608
HL1001,5,São Paulo,"2022-11-22 00:00:00,000",79
HL1001,5,São Paulo,"2022-11-26 00:00:00,000",105
HL1001,5,São Paulo,"2022-12-04 00:00:00,000",608
HL1001,5,São Paulo,"2022-12-06 00:00:00,000",314
HL1001,5,São Paulo,"2022-12-26 00:00:00,000",728
HL1005,5,São Paulo,"2020-01-02 00:00:00,000",773
HL1005,5,São Paulo,"2020-01-02 00:00:00,000",450
HL1005,5,São Paulo,"2020-01-24 00:00:00,000",310
HL1005,5,São Paulo,"2020-01-25 00:00:00,000",312
HL1005,5,São Paulo,"2020-02-09 00:00:00,000",608
HL1005,5,São Paulo,"2020-03-13 00:00:00,000",737
HL1005,5,São Paulo,"2020-04-04 00:00:00,000",53
HL1005,5,São Paulo,"2020-04-04 00:00:00,000",408
HL1005,5,São Paulo,"2020-04-15 00:00:00,000",718
HL1005,5,São Paulo,"2020-04-19 00:00:00,000",209
HL1005,5,São Paulo,"2020-04-26 00:00:00,000",446
HL1005,5,São Paulo,"2020-05-22 00:00:00,000",224
HL1005,5,São Paulo,"2020-06-24 00:00:00,000",406
HL1005,5,São Paulo,"2020-07-18 00:00:00,000",160
HL1005,5,São Paulo,"2020-07-25 00:00:00,000",484
HL1005,5,São Paulo,"2020-10-10 00:00:00,000",737
HL1005,5,São Paulo,"2020-11-03 00:00:00,000",540
HL1005,5,São Paulo,"2020-11-05 00:00:00,000",160
HL1005,5,São Paulo,"2020-11-11 00:00:00,000",79
HL1005,5,São Paulo,"2020-12-02 00:00:00,000",312
HL1005,5,São Paulo,"2020-12-09 00:00:00,000",450
HL1005,5,São Paulo,"2020-12-11 00:00:00,000",111
HL1005,5,São Paulo,"2020-12-28 00:00:00,000",608
HL1005,5,São Paulo,"2021-01-09 00:00:00,000",79
HL1005,5,São Paulo,"2021-02-17 00:00:00,000",617
HL1005,5,São Paulo,"2021-02-20 00:00:00,000",728
HL1005,5,São Paulo,"2021-02-25 00:00:00,000",53
HL1005,5,São Paulo,"2021-03-02 00:00:00,000",450
HL1005,5,São Paulo,"2021-03-03 00:00:00,000",776
HL1005,5,São Paulo,"2021-04-19 00:00:00,000",797
HL1005,5,São Paulo,"2021-04-29 00:00:00,000",310
HL1005,5,São Paulo,"2021-05-16 00:00:00,000",114
HL1005,5,São Paulo,"2021-05-22 00:00:00,000",748
HL1005,5,São Paulo,"2021-06-03 00:00:00,000",737
HL1005,5,São Paulo,"2021-06-06 00:00:00,000",389
HL1005,5,São Paulo,"2021-07-30 00:00:00,000",319
HL1005,5,São Paulo,"2021-08-07 00:00:00,000",540
HL1005,5,São Paulo,"2021-08-09 00:00:00,000",320
HL1005,5,São Paulo,"2021-09-12 00:00:00,000",235
HL1005,5,São Paulo,"2021-09-13 00:00:00,000",406
HL1005,5,São Paulo,"2021-09-26 00:00:00,000",382
HL1005,5,São Paulo,"2021-10-03 00:00:00,000",665
HL1005,5,São Paulo,"2021-10-05 00:00:00,000",776
HL1005,5,São Paulo,"2021-10-19 00:00:00,000",140
HL1005,5,São Paulo,"2021-10-26 00:00:00,000",406
HL1005,5,São Paulo,"2021-11-01 00:00:00,000",650
HL1005,5,São Paulo,"2021-12-12 00:00:00,000",196
HL1005,5,São Paulo,"2022-01-14 00:00:00,000",728
HL1005,5,São Paulo,"2022-01-19 00:00:00,000",261
HL1005,5,São Paulo,"2022-02-20 00:00:00,000",57
HL1005,5,São Paulo,"2022-02-24 00:00:00,000",319
HL1005,5,São Paulo,"2022-02-27 00:00:00,000",608
HL1005,5,São Paulo,"2022-03-09 00:00:00,000",429
HL1005,5,São Paulo,"2022-03-13 00:00:00,000",312
HL1005,5,São Paulo,"2022-04-05 00:00:00,000",50
HL1005,5,São Paulo,"2022-04-14 00:00:00,000",104
HL1005,5,São Paulo,"2022-04-23 00:00:00,000",772
HL1005,5,São Paulo,"2022-04-23 00:00:00,000",617
HL1005,5,São Paulo,"2022-05-08 00:00:00,000",145
HL1005,5,São Paulo,"2022-05-14 00:00:00,000",55
HL1005,5,São Paulo,"2022-05-20 00:00:00,000",617
HL1005,5,São Paulo,"2022-06-04 00:00:00,000",665
HL1005,5,São Paulo,"2022-06-06 00:00:00,000",698
HL1005,5,São Paulo,"2022-07-12 00:00:00,000",53
HL1005,5,São Paulo,"2022-07-13 00:00:00,000",797
HL1005,5,São Paulo,"2022-07-13 00:00:00,000",424
HL1005,5,São Paulo,"2022-07-24 00:00:00,000",650
HL1005,5,São Paulo,"2022-07-25 00:00:00,000",316
HL1005,5,São Paulo,"2022-07-27 00:00:00,000",737
HL1005,5,São Paulo,"2022-07-31 00:00:00,000",319
HL1005,5,São Paulo,"2022-08-08 00:00:00,000",316
HL1005,5,São Paulo,"2022-08-18 00:00:00,000",303
HL1005,5,São Paulo,"2022-08-24 00:00:00,000",408
HL1005,5,São Paulo,"2022-08-28 00:00:00,000",665
HL1005,5,São Paulo,"2022-09-12 00:00:00,000",261
HL1005,5,São Paulo,"2022-09-12 00:00:00,000",319
HL1005,5,São Paulo,"2022-09-16 00:00:00,000",608
HL1005,5,São Paulo,"2022-09-21 00:00:00,000",196
HL1005,5,São Paulo,"2022-10-01 00:00:00,000",319
HL1005,5,São Paulo,"2022-10-09 00:00:00,000",683
HL1005,5,São Paulo,"2022-10-30 00:00:00,000",725
HL1005,5,São Paulo,"2022-11-02 00:00:00,000",424
HL1005,5,São Paulo,"2022-11-04 00:00:00,000",160
HL1005,5,São Paulo,"2022-11-05 00:00:00,000",737
HL1005,5,São Paulo,"2022-11-13 00:00:00,000",69
HL1005,5,São Paulo,"2022-11-16 00:00:00,000",389
HL1005,5,São Paulo,"2022-11-17 00:00:00,000",261
HL1005,5,São Paulo,"2022-11-23 00:00:00,000",608
HL1005,5,São Paulo,"2022-11-26 00:00:00,000",312
HL1005,5,São Paulo,"2022-11-29 00:00:00,000",316
HL1005,5,São Paulo,"2022-12-01 00:00:00,000",424
HL1005,5,São Paulo,"2022-12-12 00:00:00,000",104
HL1005,5,São Paulo,"2022-12-22 00:00:00,000",140
HL1015,5,São Paulo,"2020-01-15 00:00:00,000",683
HL1015,5,São Paulo,"2020-02-21 00:00:00,000",114
HL1015,5,São Paulo,"2020-03-05 00:00:00,000",196
HL1015,5,São Paulo,"2020-04-03 00:00:00,000",160
HL1015,5,São Paulo,"2020-04-04 00:00:00,000",202
HL1015,5,São Paulo,"2020-04-10 00:00:00,000",484
HL1015,5,São Paulo,"2020-04-12 00:00:00,000",312
HL1015,5,São Paulo,"2020-04-19 00:00:00,000",53
HL1015,5,São Paulo,"2020-04-26 00:00:00,000",314
HL1015,5,São Paulo,"2020-05-10 00:00:00,000",320
HL1015,5,São Paulo,"2020-06-30 00:00:00,000",718
HL1015,5,São Paulo,"2020-07-26 00:00:00,000",540
HL1015,5,São Paulo,"2020-08-21 00:00:00,000",748
HL1015,5,São Paulo,"2020-09-04 00:00:00,000",608
HL1015,5,São Paulo,"2020-09-23 00:00:00,000",49
HL1015,5,São Paulo,"2020-09-25 00:00:00,000",665
HL1015,5,São Paulo,"2020-09-29 00:00:00,000",683
HL1015,5,São Paulo,"2020-10-14 00:00:00,000",55
HL1015,5,São Paulo,"2020-10-24 00:00:00,000",408
HL1015,5,São Paulo,"2020-11-04 00:00:00,000",389
HL1015,5,São Paulo,"2020-11-05 00:00:00,000",776
HL1015,5,São Paulo,"2020-11-06 00:00:00,000",104
HL1015,5,São Paulo,"2020-11-14 00:00:00,000",484
HL1015,5,São Paulo,"2020-11-24 00:00:00,000",53
HL1015,5,São Paulo,"2020-12-04 00:00:00,000",235
HL1015,5,São Paulo,"2020-12-13 00:00:00,000",608
HL1015,5,São Paulo,"2020-12-15 00:00:00,000",79
HL1015,5,São Paulo,"2020-12-17 00:00:00,000",772
HL1015,5,São Paulo,"2020-12-25 00:00:00,000",105
HL1015,5,São Paulo,"2020-12-27 00:00:00,000",617
HL1015,5,São Paulo,"2020-12-31 00:00:00,000",105
HL1015,5,São Paulo,"2021-02-03 00:00:00,000",261
HL1015,5,São Paulo,"2021-03-21 00:00:00,000",737
HL1015,5,São Paulo,"2021-04-25 00:00:00,000",424
HL1015,5,São Paulo,"2021-05-16 00:00:00,000",406
HL1015,5,São Paulo,"2021-05-17 00:00:00,000",737
HL1015,5,São Paulo,"2021-05-27 00:00:00,000",484
HL1015,5,São Paulo,"2021-06-13 00:00:00,000",737
HL1015,5,São Paulo,"2021-07-17 00:00:00,000",718
HL1015,5,São Paulo,"2021-07-27 00:00:00,000",160
HL1015,5,São Paulo,"2021-08-03 00:00:00,000",320
HL1015,5,São Paulo,"2021-09-18 00:00:00,000",450
HL1015,5,São Paulo,"2021-09-20 00:00:00,000",160
HL1015,5,São Paulo,"2021-10-02 00:00:00,000",209
HL1015,5,São Paulo,"2021-10-07 00:00:00,000",753
HL1015,5,São Paulo,"2021-10-27 00:00:00,000",400
HL1015,5,São Paulo,"2021-10-30 00:00:00,000",114
HL1015,5,São Paulo,"2021-11-08 00:00:00,000",53
HL1015,5,São Paulo,"2021-11-22 00:00:00,000",79
HL1015,5,São Paulo,"2021-11-28 00:00:00,000",728
HL1015,5,São Paulo,"2021-12-23 00:00:00,000",424
HL1015,5,São Paulo,"2022-01-02 00:00:00,000",261
HL1015,5,São Paulo,"2022-01-06 00:00:00,000",196
HL1015,5,São Paulo,"2022-01-11 00:00:00,000",202
HL1015,5,São Paulo,"2022-01-16 00:00:00,000",450
HL1015,5,São Paulo,"2022-01-17 00:00:00,000",728
HL1015,5,São Paulo,"2022-01-21 00:00:00,000",718
HL1015,5,São Paulo,"2022-01-21 00:00:00,000",55
HL1015,5,São Paulo,"2022-01-22 00:00:00,000",400
HL1015,5,São Paulo,"2022-01-28 00:00:00,000",312
HL1015,5,São Paulo,"2022-02-12 00:00:00,000",79
HL1015,5,São Paulo,"2022-02-18 00:00:00,000",718
HL1015,5,São Paulo,"2022-02-23 00:00:00,000",50
HL1015,5,São Paulo,"2022-04-04 00:00:00,000",698
HL1015,5,São Paulo,"2022-04-08 00:00:00,000",541
HL1015,5,São Paulo,"2022-04-14 00:00:00,000",541
HL1015,5,São Paulo,"2022-04-14 00:00:00,000",209
HL1015,5,São Paulo,"2022-04-17 00:00:00,000",665
HL1015,5,São Paulo,"2022-04-24 00:00:00,000",408
HL1015,5,São Paulo,"2022-05-10 00:00:00,000",261
HL1015,5,São Paulo,"2022-05-23 00:00:00,000",69
HL1015,5,São Paulo,"2022-05-25 00:00:00,000",424
HL1015,5,São Paulo,"2022-06-02 00:00:00,000",202
HL1015,5,São Paulo,"2022-06-07 00:00:00,000",303
HL1015,5,São Paulo,"2022-06-16 00:00:00,000",617
HL1015,5,São Paulo,"2022-07-11 00:00:00,000",303
HL1015,5,São Paulo,"2022-09-05 00:00:00,000",737
HL1015,5,São Paulo,"2022-09-05 00:00:00,000",429
HL1015,5,São Paulo,"2022-09-20 00:00:00,000",408
HL1015,5,São Paulo,"2022-10-03 00:00:00,000",540
HL1015,5,São Paulo,"2022-10-28 00:00:00,000",53
HL1015,5,São Paulo,"2022-11-09 00:00:00,000",111
HL1015,5,São Paulo,"2022-11-14 00:00:00,000",104
HL1015,5,São Paulo,"2022-11-15 00:00:00,000",484
HL1015,5,São Paulo,"2022-11-16 00:00:00,000",776
HL1015,5,São Paulo,"2022-11-30 00:00:00,000",408
HL1015,5,São Paulo,"2022-12-04 00:00:00,000",753
HL1015,5,São Paulo,"2022-12-16 00:00:00,000",753
HL1015,5,São Paulo,"2022-12-20 00:00:00,000",320
HL1015,5,São Paulo,"2022-12-27 00:00:00,000",424
HL1009,5,São Paulo,"2020-01-03 00:00:00,000",450
HL1009,5,São Paulo,"2020-01-15 00:00:00,000",49
HL1009,5,São Paulo,"2020-01-17 00:00:00,000",316
HL1009,5,São Paulo,"2020-01-22 00:00:00,000",105
HL1009,5,São Paulo,"2020-01-26 00:00:00,000",424
HL1009,5,São Paulo,"2020-01-30 00:00:00,000",316
HL1009,5,São Paulo,"2020-02-13 00:00:00,000",446
HL1009,5,São Paulo,"2020-02-24 00:00:00,000",312
HL1009,5,São Paulo,"2020-04-27 00:00:00,000",310
HL1009,5,São Paulo,"2020-05-04 00:00:00,000",446
HL1009,5,São Paulo,"2020-06-25 00:00:00,000",303
HL1009,5,São Paulo,"2020-07-10 00:00:00,000",310
HL1009,5,São Paulo,"2020-07-10 00:00:00,000",49
HL1009,5,São Paulo,"2020-07-29 00:00:00,000",698
HL1009,5,São Paulo,"2020-08-24 00:00:00,000",683
HL1009,5,São Paulo,"2020-09-21 00:00:00,000",50
HL1009,5,São Paulo,"2020-09-23 00:00:00,000",617
HL1009,5,São Paulo,"2020-09-29 00:00:00,000",57
HL1009,5,São Paulo,"2020-10-02 00:00:00,000",617
HL1009,5,São Paulo,"2020-11-01 00:00:00,000",235
HL1009,5,São Paulo,"2020-12-02 00:00:00,000",53
HL1009,5,São Paulo,"2020-12-02 00:00:00,000",312
HL1009,5,São Paulo,"2020-12-10 00:00:00,000",408
HL1009,5,São Paulo,"2020-12-20 00:00:00,000",450
HL1009,5,São Paulo,"2020-12-22 00:00:00,000",665
HL1009,5,São Paulo,"2021-01-01 00:00:00,000",196
HL1009,5,São Paulo,"2021-01-15 00:00:00,000",617
HL1009,5,São Paulo,"2021-01-16 00:00:00,000",319
HL1009,5,São Paulo,"2021-01-25 00:00:00,000",316
HL1009,5,São Paulo,"2021-02-16 00:00:00,000",49
HL1009,5,São Paulo,"2021-02-19 00:00:00,000",79
HL1009,5,São Paulo,"2021-03-13 00:00:00,000",57
HL1009,5,São Paulo,"2021-04-09 00:00:00,000",196
HL1009,5,São Paulo,"2021-05-04 00:00:00,000",105
HL1009,5,São Paulo,"2021-05-29 00:00:00,000",55
HL1009,5,São Paulo,"2021-06-16 00:00:00,000",753
HL1009,5,São Paulo,"2021-06-20 00:00:00,000",737
HL1009,5,São Paulo,"2021-06-29 00:00:00,000",665
HL1009,5,São Paulo,"2021-07-02 00:00:00,000",310
HL1009,5,São Paulo,"2021-07-14 00:00:00,000",53
HL1009,5,São Paulo,"2021-08-22 00:00:00,000",608
HL1009,5,São Paulo,"2021-09-09 00:00:00,000",104
HL1009,5,São Paulo,"2021-09-13 00:00:00,000",698
HL1009,5,São Paulo,"2021-09-17 00:00:00,000",316
HL1009,5,São Paulo,"2021-09-28 00:00:00,000",140
HL1009,5,São Paulo,"2021-09-30 00:00:00,000",540
HL1009,5,São Paulo,"2021-11-15 00:00:00,000",748
HL1009,5,São Paulo,"2021-11-17 00:00:00,000",69
HL1009,5,São Paulo,"2021-11-19 00:00:00,000",773
HL1009,5,São Paulo,"2021-11-20 00:00:00,000",196
HL1009,5,São Paulo,"2021-12-18 00:00:00,000",650
HL1009,5,São Paulo,"2021-12-18 00:00:00,000",320
HL1009,5,São Paulo,"2022-01-18 00:00:00,000",202
HL1009,5,São Paulo,"2022-03-02 00:00:00,000",400
HL1009,5,São Paulo,"2022-03-04 00:00:00,000",310
HL1009,5,São Paulo,"2022-03-04 00:00:00,000",737
HL1009,5,São Paulo,"2022-04-03 00:00:00,000",55
HL1009,5,São Paulo,"2022-04-22 00:00:00,000",50
HL1009,5,São Paulo,"2022-04-24 00:00:00,000",57
HL1009,5,São Paulo,"2022-05-02 00:00:00,000",57
HL1009,5,São Paulo,"2022-05-17 00:00:00,000",55
HL1009,5,São Paulo,"2022-05-25 00:00:00,000",382
HL1009,5,São Paulo,"2022-05-26 00:00:00,000",683
HL1009,5,São Paulo,"2022-06-10 00:00:00,000",541
HL1009,5,São Paulo,"2022-06-18 00:00:00,000",53
HL1009,5,São Paulo,"2022-06-26 00:00:00,000",650
HL1009,5,São Paulo,"2022-07-04 00:00:00,000",140
HL1009,5,São Paulo,"2022-07-16 00:00:00,000",196
HL1009,5,São Paulo,"2022-08-15 00:00:00,000",446
HL1009,5,São Paulo,"2022-08-24 00:00:00,000",145
HL1009,5,São Paulo,"2022-09-07 00:00:00,000",105
HL1009,5,São Paulo,"2022-09-23 00:00:00,000",382
HL1009,5,São Paulo,"2022-09-26 00:00:00,000",718
HL1009,5,São Paulo,"2022-10-11 00:00:00,000",145
HL1009,5,São Paulo,"2022-10-22 00:00:00,000",104
HL1009,5,São Paulo,"2022-10-26 00:00:00,000",320
HL1009,5,São Paulo,"2022-11-21 00:00:00,000",55
HL1009,5,São Paulo,"2022-11-22 00:00:00,000",160
HL1009,5,São Paulo,"2022-11-23 00:00:00,000",382
HL1009,5,São Paulo,"2022-11-25 00:00:00,000",737
HL1009,5,São Paulo,"2022-12-02 00:00:00,000",140
HL1009,5,São Paulo,"2022-12-17 00:00:00,000",320
HL1009,5,São Paulo,"2022-12-24 00:00:00,000",400
HL1008,5,São Paulo,"2020-01-01 00:00:00,000",57
HL1008,5,São Paulo,"2020-01-08 00:00:00,000",145
HL1008,5,São Paulo,"2020-02-14 00:00:00,000",55
HL1008,5,São Paulo,"2020-03-02 00:00:00,000",224
HL1008,5,São Paulo,"2020-03-11 00:00:00,000",49
HL1008,5,São Paulo,"2020-04-22 00:00:00,000",69
HL1008,5,São Paulo,"2020-05-04 00:00:00,000",797
HL1008,5,São Paulo,"2020-06-06 00:00:00,000",382
HL1008,5,São Paulo,"2020-07-10 00:00:00,000",105
HL1008,5,São Paulo,"2020-08-15 00:00:00,000",665
HL1008,5,São Paulo,"2020-08-22 00:00:00,000",406
HL1008,5,São Paulo,"2020-09-25 00:00:00,000",737
HL1008,5,São Paulo,"2020-09-25 00:00:00,000",316
HL1008,5,São Paulo,"2020-10-21 00:00:00,000",400
HL1008,5,São Paulo,"2020-10-23 00:00:00,000",224
HL1008,5,São Paulo,"2020-11-06 00:00:00,000",111
HL1008,5,São Paulo,"2020-11-26 00:00:00,000",772
HL1008,5,São Paulo,"2020-12-04 00:00:00,000",408
HL1008,5,São Paulo,"2020-12-16 00:00:00,000",450
HL1008,5,São Paulo,"2020-12-28 00:00:00,000",55
HL1008,5,São Paulo,"2020-12-28 00:00:00,000",316
HL1008,5,São Paulo,"2021-02-02 00:00:00,000",53
HL1008,5,São Paulo,"2021-02-05 00:00:00,000",772
HL1008,5,São Paulo,"2021-02-18 00:00:00,000",53
HL1008,5,São Paulo,"2021-02-28 00:00:00,000",772
HL1008,5,São Paulo,"2021-03-18 00:00:00,000",737
HL1008,5,São Paulo,"2021-04-10 00:00:00,000",650
HL1008,5,São Paulo,"2021-04-23 00:00:00,000",400
HL1008,5,São Paulo,"2021-04-30 00:00:00,000",320
HL1008,5,São Paulo,"2021-05-12 00:00:00,000",160
HL1008,5,São Paulo,"2021-05-31 00:00:00,000",773
HL1008,5,São Paulo,"2021-06-02 00:00:00,000",49
HL1008,5,São Paulo,"2021-06-09 00:00:00,000",111
HL1008,5,São Paulo,"2021-07-03 00:00:00,000",484
HL1008,5,São Paulo,"2021-07-07 00:00:00,000",319
HL1008,5,São Paulo,"2021-07-19 00:00:00,000",484
HL1008,5,São Paulo,"2021-08-13 00:00:00,000",541
HL1008,5,São Paulo,"2021-09-19 00:00:00,000",683
HL1008,5,São Paulo,"2021-09-21 00:00:00,000",160
HL1008,5,São Paulo,"2021-09-23 00:00:00,000",408
HL1008,5,São Paulo,"2021-11-02 00:00:00,000",450
HL1008,5,São Paulo,"2021-11-03 00:00:00,000",49
HL1008,5,São Paulo,"2021-11-16 00:00:00,000",79
HL1008,5,São Paulo,"2021-11-25 00:00:00,000",69
HL1008,5,São Paulo,"2021-11-27 00:00:00,000",776
HL1008,5,São Paulo,"2021-12-17 00:00:00,000",79
HL1008,5,São Paulo,"2021-12-21 00:00:00,000",316
HL1008,5,São Paulo,"2021-12-25 00:00:00,000",776
HL1008,5,São Paulo,"2021-12-29 00:00:00,000",389
HL1008,5,São Paulo,"2022-01-07 00:00:00,000",541
HL1008,5,São Paulo,"2022-01-21 00:00:00,000",540
HL1008,5,São Paulo,"2022-01-22 00:00:00,000",310
HL1008,5,São Paulo,"2022-01-24 00:00:00,000",540
HL1008,5,São Paulo,"2022-02-07 00:00:00,000",202
HL1008,5,São Paulo,"2022-03-02 00:00:00,000",312
HL1008,5,São Paulo,"2022-03-04 00:00:00,000",424
HL1008,5,São Paulo,"2022-03-08 00:00:00,000",776
